q_deg,input_torque_Nm,input_torque_mNm,link 1_Nm,link 2_Nm,link 3_Nm,joint R12_Nm,joint R23_Nm,joint T3_Nm,rod P0-B2_Nm,rod A1-C3_Nm,TCP payload_Nm
43.9,-0.00416643176107,-4.16643176107,-0.000702535486287,-0.00104919820944,-0.000376234725171,-0.000843042583544,-0.000730754730623,-2.17147197201e-05,-9.50231574026e-05,-0.000347928148882,0
44,-0.00413148103871,-4.13148103871,-0.000701340240766,-0.00104441916439,-0.000367681086772,-0.000841608288919,-0.000725020457666,-1.03417158788e-05,-9.47601157714e-05,-0.000346309968544,0
44.1,-0.00409657370708,-4.09657370708,-0.000700142858841,-0.00103964215472,-0.00035914315865,-0.000840171430609,-0.000719291801472,1.00548417192e-06,-9.44972116764e-05,-0.000344690575283,0
44.2,-0.00406171011555,-4.06171011555,-0.000698943344159,-0.00103486721217,-0.000350621037506,-0.000838732012991,-0.000713568805261,1.23267302499e-05,-9.42344450279e-05,-0.000343069988688,0
44.3,-0.00402689061235,-4.02689061235,-0.000697741700375,-0.00103009436839,-0.000342114819676,-0.000837290040449,-0.000707851512142,2.36218727888e-05,-9.39718157341e-05,-0.000341448228368,0
44.4,-0.00399211554458,-3.99211554458,-0.000696537931148,-0.00102532365499,-0.000333624601137,-0.000835845517378,-0.000702139965112,3.48907628388e-05,-9.37093237005e-05,-0.000339825313952,0
44.5,-0.00395738525821,-3.95738525821,-0.000695332040146,-0.00102055510349,-0.000325150477494,-0.000834398448175,-0.00069643420706,4.6133252071e-05,-9.34469688299e-05,-0.000338201265088,0
44.6,-0.00392270009808,-3.92270009808,-0.000694124031042,-0.00101578874534,-0.000316692543994,-0.000832948837251,-0.000690734280764,5.7349192777e-05,-9.31847510228e-05,-0.000336576101442,0
44.7,-0.00388806040788,-3.88806040788,-0.000692913907516,-0.00101102461194,-0.00030825089551,-0.000831496689019,-0.000685040228893,6.85384378724e-05,-9.29226701772e-05,-0.000334949842701,0
44.8,-0.00385346653017,-3.85346653017,-0.000691701673254,-0.0010062627346,-0.000299825626551,-0.000830042007905,-0.000679352094002,7.97008409007e-05,-9.26607261884e-05,-0.000333322508569,0
44.9,-0.00381891880636,-3.81891880636,-0.000690487331949,-0.00100150314459,-0.000291416831255,-0.000828584798339,-0.000673669918542,9.08362560323e-05,-9.23989189492e-05,-0.000331694118771,0
45,-0.0037844175767,-3.7844175767,-0.000689270887299,-0.000996745873073,-0.000283024603391,-0.000827125064759,-0.00066799374485,0.000101944538068,-9.21372483501e-05,-0.000330064693048,0
45.1,-0.00374996318031,-3.74996318031,-0.000688052343011,-0.000991990951178,-0.000274649036355,-0.000825662811614,-0.000662323615154,0.000113025542443,-9.1875714279e-05,-0.000328434251161,0
45.2,-0.00371555595513,-3.71555595513,-0.000686831702797,-0.000987238409952,-0.000266290223173,-0.000824198043356,-0.000656659571573,0.000124079125226,-9.16143166211e-05,-0.000326802812888,0
45.3,-0.00368119623797,-3.68119623797,-0.000685608970373,-0.000982488280376,-0.000257948256497,-0.000822730764448,-0.000651001656116,0.000135105143122,-9.13530552592e-05,-0.000325170398026,0
45.4,-0.00364688436446,-3.64688436446,-0.000684384149466,-0.000977740593362,-0.000249623228604,-0.000821260979359,-0.000645349910684,0.000146103453477,-9.10919300737e-05,-0.000323537026388,0
45.5,-0.00361262066906,-3.61262066906,-0.000683157243806,-0.000972995379756,-0.000241315231394,-0.000819788692567,-0.000639704377067,0.000157073914278,-9.08309409424e-05,-0.000321902717807,0
45.6,-0.00357840548508,-3.57840548508,-0.000681928257131,-0.000968252670335,-0.000233024356396,-0.000818313908557,-0.000634065096946,0.000168016384153,-9.05700877406e-05,-0.000320267492131,0
45.7,-0.00354423914465,-3.54423914465,-0.000680697193184,-0.000963512495809,-0.000224750694757,-0.00081683663182,-0.000628432111893,0.000178930722379,-9.03093703411e-05,-0.000318631369227,0
45.8,-0.00351012197872,-3.51012197872,-0.000679464055715,-0.000958774886819,-0.000216494337246,-0.000815356866858,-0.000622805463371,0.000189816788878,-9.00487886141e-05,-0.000316994368977,0
45.9,-0.00347605431707,-3.47605431707,-0.000678228848481,-0.000954039873941,-0.000208255374255,-0.000813874618177,-0.000617185192735,0.000200674444224,-8.97883424274e-05,-0.000315356511282,0
46,-0.0034420364883,-3.4420364883,-0.000676991575244,-0.000949307487681,-0.000200033895795,-0.000812389890292,-0.000611571341229,0.00021150354964,-8.95280316465e-05,-0.000313717816058,0
46.1,-0.00340806881983,-3.40806881983,-0.000675752239773,-0.000944577758479,-0.000191829991493,-0.000810902687728,-0.000605963949991,0.000222303967005,-8.9267856134e-05,-0.000312078303237,0
46.2,-0.00337415163787,-3.37415163787,-0.000674510845844,-0.000939850716707,-0.000183643750596,-0.000809413015013,-0.000600363060047,0.000233075558854,-8.90078157501e-05,-0.00031043799277,0
46.3,-0.00334028526747,-3.34028526747,-0.000673267397238,-0.000935126392668,-0.000175475261969,-0.000807920876685,-0.000594768712317,0.000243818188379,-8.87479103528e-05,-0.00030879690462,0
46.4,-0.00330647003247,-3.30647003247,-0.000672021897742,-0.000930404816602,-0.00016732461409,-0.000806426277291,-0.000589180947612,0.000254531719433,-8.84881397973e-05,-0.000307155058769,0
46.5,-0.00327270625551,-3.27270625551,-0.000670774351152,-0.000925686018678,-0.000159191895051,-0.000804929221382,-0.000583599806634,0.000265216016532,-8.82285039364e-05,-0.000305512475213,0
46.6,-0.00323899425805,-3.23899425805,-0.000669524761266,-0.000920970028998,-0.000151077192562,-0.000803429713519,-0.000578025329977,0.000275870944854,-8.79690026203e-05,-0.000303869173964,0
46.7,-0.00320533436033,-3.20533436033,-0.000668273131892,-0.000916256877598,-0.000142980593941,-0.00080192775827,-0.000572457558127,0.000286496370245,-8.7709635697e-05,-0.000302225175049,0
46.8,-0.00317172688139,-3.17172688139,-0.000667019466842,-0.000911546594448,-0.000134902186121,-0.00080042336021,-0.000566896531461,0.000297092159219,-8.74504030117e-05,-0.000300580498511,0
46.9,-0.00313817213905,-3.13817213905,-0.000665763769935,-0.000906839209448,-0.000126842055643,-0.000798916523922,-0.000561342290249,0.000307658178962,-8.71913044073e-05,-0.000298935164406,0
47,-0.00310467044994,-3.10467044994,-0.000664506044996,-0.000902134752432,-0.000118800288661,-0.000797407253995,-0.000555794874653,0.000318194297331,-8.6932339724e-05,-0.000297289192806,0
