q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_eh_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_h_Nm
49,-0.0080994958288,-8.0994958288,-0.000420626385872,-0.000858025433367,-0.00208069135909,-2.99328945054e-05,-0.00168509060612,-0.000504751663047,-0.000782286487003,-0.00155849363275,-0.000179597367032
49.5,-0.00808551506709,-8.08551506709,-0.000424291967131,-0.000868337318742,-0.00208955109312,-2.87346878965e-05,-0.00164229418176,-0.000509150360557,-0.000793355617557,-0.00155739171295,-0.000172408127379
50,-0.00807107065208,-8.07107065208,-0.000427925236908,-0.000878773420283,-0.00209854973072,-2.75540678022e-05,-0.00159856269733,-0.00051351028429,-0.000804649846134,-0.0015562209618,-0.000165324406813
50.5,-0.00805614148901,-8.05614148901,-0.000431525918517,-0.000889343641125,-0.00210770130149,-2.63910328817e-05,-0.00155383596014,-0.000517831102221,-0.000816184359467,-0.00155498197587,-0.00015834619729
51,-0.00804070260179,-8.04070260179,-0.000435093737751,-0.000900058713356,-0.00211702085641,-2.52455770404e-05,-0.00150804692457,-0.000522112485301,-0.000827975584733,-0.00155367526038,-0.000151473462242
51.5,-0.00802472448767,-8.02472448767,-0.000438628422905,-0.00091093028335,-0.00212652456373,-2.41176894932e-05,-0.00146112075721,-0.000526354107486,-0.00084004131754,-0.001552301209,-0.000144706136959
52,-0.00800817233947,-8.00817233947,-0.000442129704799,-0.000921971008105,-0.00213622981622,-2.3007354467e-05,-0.00141297373681,-0.000530555645759,-0.000852400866399,-0.00155086008011,-0.000138044126802
52.5,-0.00799100510326,-7.99100510326,-0.000445597316795,-0.000933194664284,-0.00214615535177,-2.19145503823e-05,-0.00136351195242,-0.000534716780154,-0.000865075216272,-0.00154935196889,-0.000131487302294
53,-0.0079731743303,-7.9731743303,-0.000449030994819,-0.000944616272007,-0.00215632138911,-2.08392482903e-05,-0.00131262975394,-0.000538837193783,-0.000878087214228,-0.00154777677438,-0.000125035489742
53.5,-0.00795462276949,-7.95462276949,-0.000452430477383,-0.000956252235813,-0.00216674978113,-1.9781409244e-05,-0.00126020789623,-0.00054291657286,-0.00089146178086,-0.00154613416051,-0.000118688455464
54,-0.00793528263059,-7.93528263059,-0.0004557955056,-0.000968120505671,-0.0021774641886,-1.87409801492e-05,-0.00120611130113,-0.00054695460672,-0.000905226151787,-0.00154442351004,-0.000112445880895
54.5,-0.0079150734254,-7.9150734254,-0.000459125823208,-0.000980240761532,-0.00218849027756,-1.77178874446e-05,-0.00115018633883,-0.000550950987849,-0.000919410154448,-0.00154264386986,-0.000106307324668
55,-0.00789389926369,-7.89389926369,-0.000462421176587,-0.000992634625592,-0.00219985594452,-1.67120276742e-05,-0.00109225749894,-0.000554905411904,-0.000934046526484,-0.00154079388594,-0.000100272166045
55.5,-0.00787164543712,-7.87164543712,-0.00046568131478,-0.00100532590735,-0.00221159157415,-1.57232535883e-05,-0.00103212327901,-0.000558817577735,-0.000949171283289,-0.00153887172568,-9.43395215298e-05
56,-0.00784817406352,-7.84817406352,-0.000468905989508,-0.00101834088761,-0.00222373033541,-1.47513537791e-05,-0.000969551058099,-0.00056268718741,-0.000964824144012,-0.00153687498502,-8.85081226748e-05
56.5,-0.00782331847661,-7.82331847661,-0.000472094955196,-0.00103170864906,-0.00223630852308,-1.37960228976e-05,-0.000904270638442,-0.000566513946235,-0.000981049027356,-0.00153480057696,-8.27761373857e-05
57,-0.00779687591846,-7.79687591846,-0.000475247968983,-0.0010454614626,-0.00224936595357,-1.28568180257e-05,-0.000835966016049,-0.000570297562779,-0.000997894631127,-0.00153264459718,-7.71409081543e-05
57.5,-0.0077685979038,-7.7685979038,-0.000478364790743,-0.00105963524118,-0.00226294642541,-1.19330944916e-05,-0.000764264761734,-0.000574037748892,-0.00101541511287,-0.00153040216153,-7.15985669498e-05
58,-0.0077381773397,-7.7381773397,-0.000481445183106,-0.00107427007527,-0.00227709825791,-1.10239107859e-05,-0.000688724126302,-0.000577734219727,-0.00103367089317,-0.00152806720871,-6.61434647155e-05
58.5,-0.00770523104495,-7.70523104495,-0.000484488911469,-0.00108941086833,-0.00229187492424,-1.01278863796e-05,-0.000608812574352,-0.000581386693763,-0.00105272960873,-0.00152563225941,-6.07673182779e-05
59,-0.00766927561933,-7.66927561933,-0.000487495744015,-0.00110510809486,-0.00230733579984,-9.24298658232e-06,-0.000523884811141,-0.000584994892817,-0.00107266724948,-0.0015230881211,-5.54579194939e-05
59.5,-0.00762969348873,-7.62969348873,-0.000490465451724,-0.00112141871042,-0.00232354705214,-8.36619224473e-06,-0.000433147339008,-0.000588558542069,-0.00109356952356,-0.00152042352409,-5.01971534684e-05
60,-0.0075856840763,-7.5856840763,-0.000493397808391,-0.00113840725087,-0.00234058270523,-7.49298373578e-06,-0.000335609879054,-0.000592077370069,-0.00111553350623,-0.00151762467031,-4.49579024147e-05
60.5,-0.00753619181441,-7.53619181441,-0.000496292590625,-0.00115614716957,-0.00235852592239,-6.61651774475e-06,-0.000230015082828,-0.00059555110875,-0.0011386696456,-0.00151467467043,-3.96991064685e-05
61,-0.00747979691375,-7.47979691375,-0.000499149577856,-0.00117472247609,-0.0023774705625,-5.72628085328e-06,-0.000114733780436,-0.000598979493427,-0.00116310422071,-0.00151155283676,-3.43576851197e-05
