q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,h_x_mm,h_y_mm,i_x_mm,i_y_mm
29,3.260888803e-08,0,-0,10.23670304,22.03860048,50.84202096,11.30509421,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.76615065,-8.346533265,63.18178116,-18.28785864,94.35841128,-39.83844418
29.5,3.363462753e-08,0,-0,10.42863388,21.94843036,51.02366007,11.17606527,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.73030375,-8.80280661,62.98197596,-18.44836836,93.79347042,-40.51784529
30,3.472791121e-08,0,-0,10.61977055,21.85658879,51.204298,11.04473731,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.68934835,-9.259740174,62.7814556,-18.60572208,93.21777557,-41.18979676
30.5,3.58934571e-08,0,-0,10.81009848,21.76308275,51.38391444,10.91110324,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.64325051,-9.717305631,62.58028052,-18.75993334,92.6313806,-41.85411846
31,3.71364024e-08,0,-0,10.99960318,21.66791937,51.56248889,10.77515558,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.59197543,-10.17547476,62.37851044,-18.91101674,92.03434018,-42.51063041
31.5,3.846230356e-08,0,-0,11.18827021,21.5711059,51.7400007,10.63688643,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.53548741,-10.63421944,62.1762043,-19.05898795,91.42670967,-43.15915265
32,3.987723574e-08,0,-0,11.37608522,21.4726497,51.916429,10.4962875,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.47374981,-11.09351168,61.97342028,-19.20386359,90.80854502,-43.79950517
32.5,4.138774301e-08,0,-0,11.56303389,21.37255827,52.09175272,10.35335002,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.40672496,-11.55332358,61.77021579,-19.34566128,90.17990261,-44.43150785
33,4.300099476e-08,0,-0,11.749102,21.27083925,52.2659506,10.20806474,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.33437413,-12.01362738,61.56664747,-19.48439954,89.54083918,-45.05498032
33.5,4.472475723e-08,0,-0,11.93427536,21.16750036,52.43900113,10.06042194,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.25665748,-12.47439546,61.36277119,-19.62009779,88.89141168,-45.66974186
34,4.656754271e-08,0,-0,12.11853988,21.06254949,52.61088256,9.910411331,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.17353395,-12.93560033,61.15864208,-19.7527763,88.23167715,-46.27561129
34.5,4.853858826e-08,0,-0,12.30188153,20.95599463,52.78157288,9.758022071,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.08496121,-13.39721462,60.95431451,-19.88245615,87.56169258,-46.87240679
35,5.064805464e-08,0,-0,12.48428634,20.84784388,52.95104981,9.603242718,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.99089559,-13.85921114,60.74984209,-20.0091592,86.88151482,-47.45994579
35.5,5.290702632e-08,0,-0,12.66574043,20.73810549,53.11929079,9.446061197,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.891292,-14.32156283,60.54527775,-20.13290807,86.19120038,-48.03804481
36,5.532763225e-08,0,-0,12.84622997,20.62678781,53.28627292,9.28646476,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.78610383,-14.7842428,60.34067368,-20.25372607,85.49080535,-48.60651925
36.5,5.792323776e-08,0,-0,13.02574122,20.51389933,53.451973,9.124439948,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.67528287,-15.24722434,60.1360814,-20.37163717,84.78038524,-49.1651832
37,6.070848002e-08,0,-0,13.20426051,20.39944863,53.61636746,8.959972551,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.55877922,-15.71048089,59.93155178,-20.48666602,84.05999482,-49.71384928
37.5,6.369948835e-08,0,-0,13.38177425,20.28344443,53.77943235,8.793047559,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.43654116,-16.17398608,59.72713507,-20.59883783,83.32968801,-50.25232834
38,6.691404053e-08,0,-0,13.55826891,20.16589557,53.94114334,8.623649118,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.30851507,-16.63771372,59.52288092,-20.70817839,82.58951768,-50.78042928
38.5,7.037176175e-08,0,-0,13.73373106,20.046811,54.10147566,8.451760478,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.1746453,-17.10163783,59.31883843,-20.81471405,81.83953554,-51.29795874
39,7.409434488e-08,0,-0,13.90814732,19.92619979,54.26040407,8.277363939,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.03487404,-17.5657326,59.11505621,-20.91847163,81.07979195,-51.80472083
39.5,7.810579206e-08,0,-0,14.08150443,19.80407112,54.41790286,8.100440792,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.88914119,-18.02997244,58.9115824,-21.01947844,80.31033575,-52.3005168
40,8.243276284e-08,0,-0,14.25378918,19.68043429,54.57394581,7.920971263,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.73738422,-18.49433198,58.70846475,-21.11776223,79.53121414,-52.78514472
40.5,8.710487265e-08,0,-0,14.42498845,19.55529872,54.72850611,7.738934437,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.57953802,-18.95878604,58.50575068,-21.21335114,78.74247242,-53.25839912
41,9.215506935e-08,0,-0,14.5950892,19.42867394,54.8815564,7.554308201,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.4155347,-19.42330968,58.30348736,-21.3062737,77.94415388,-53.72007054
41.5,9.762012354e-08,0,-0,14.76407848,19.3005696,55.03306863,7.367069155,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.24530348,-19.88787819,58.10172176,-21.39655879,77.13629958,-54.16994517
42,1.035411401e-07,0,-0,14.93194341,19.17099543,55.18301412,7.177192542,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.06877044,-20.35246709,57.90050075,-21.48423562,76.31894816,-54.60780431
